,image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,Origin,Size,Appearance,Temperament,Health,Lifespan,Breed group,Coat,Exercise needs,Training needs,Grooming,Breed Group,Training,Health concerns,Activity level,Grooming needs,Exercise Needs,The heartwarming family films “Homeward Bound,Weight,Color,Petey from “The Little Rascals,Energy level,Exercise,Suitability as a pet,"The Berger Picard has made its mark in the world of cinema, featuring in films like “Because of Winn Dixie,” “Homeward Bound II",Active,Energetic,Playful,Intelligent,Easy to train,Good with children,Wary of strangers,Hunting instincts,Country of origin,Original purpose,Height,Exercise requirements,Health problems,Colors,Trainability,Needs,They come in two coat varieties,Hybrid breed,Purpose,Other Dalmatian Names in History,“Bombón,"Published in 1933, Flush",There are five distinct varieties of the German Spitz,"Both parent breeds, the Siberian Husky and Golden Retriever, have made many appearances in movies over the years, including “Iron Will”, “Air Bud“, “Homeward Bound",Health Considerations,History,Digging Instinct,Suitability,Health issues,Popularity,The heartwarming film “Homeward Bound II,English Mastiff,Neapolitan Mastiff,Bullmastiff,Personality,Breed type,Parent breeds,Good with other pets,Orgin,Nicknames,Movie roles,TV mentions,Shiba Inu Lifespan,Pop Culture,Uses,"Currently, the AKC officially acknowledges the Yakutian Laika, whereas the Fédération Cynologique Internationale (FCI) recognizes three distinct Laika breeds"
Barbet,https://api-ninjas.com/images/dogs/barbet.jpg,5.0,5.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,12.0,14.0,24.5,24.5,65.0,65.0,19.0,19.0,35.0,35.0,France.,Medium.,,"Affectionate, playful, intelligent, and relatively easy to train. Good with children and other pets.","Generally healthy, but can be prone to certain health problems such as hip dysplasia, elbow dysplasia, and eye problems.",12-15 years.,Sporting.,"Long, curly, and dense, can be any color but the most common are black, brown, and fawn. Requires regular grooming to prevent matting.","Active dogs that need plenty of exercise, including swimming.",,Regular grooming required to keep the coat from matting.,,Generally easy to train.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bascottie,,,,,,,,,,,,,,,,,,,,,,,,United States,Small to medium,,"Affectionate, playful, and intelligent",,12-15 years,Designer breed,"Short and wiry, or medium-length and soft, in a variety of colors and patterns",Moderate,Easy to train,,,,"Generally healthy, but can be prone to certain health conditions, such as hip dysplasia, elbow dysplasia, and eye problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basenji,https://api-ninjas.com/images/dogs/basenji.jpg,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,13.0,14.0,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,Central Africa,22-24 pounds (10-11 kg),,"Intelligent, independent, and alert. Basenjis are known for their unique “barkless” trait and their cat-like grooming habits.","Generally a healthy breed, but they can be prone to certain conditions like hip dysplasia and kidney problems. Regular veterinary check-ups are important.",12-16 years,,"Short, fine coat that comes in various colors, including red, black, tricolor, and brindle.",,,Basenjis have minimal grooming needs due to their short coat. Occasional brushing and routine care suffice.,Hound Group,"They have a strong hunting instinct and can be a bit stubborn. Training should be consistent, patient, and use positive reinforcement.",,,,"Moderate exercise requirements. They enjoy physical activities, but mental stimulation is equally important.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basset Fauve de Bretagne,https://api-ninjas.com/images/dogs/basset_fauve_de_bretagne.jpg,5.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,12.0,12.0,15.5,15.5,35.0,35.0,12.5,12.5,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basset Hound,https://api-ninjas.com/images/dogs/basset_hound.jpg,5.0,5.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,12.0,13.0,15.0,14.0,65.0,65.0,12.0,11.0,40.0,40.0,France (descendant of French breeds),Medium to Large,,"Gentle, affectionate, and laid-back","Prone to certain health issues, including ear infections (due to their long ears), hip dysplasia, and obesity.",10-12 years,,"Short, dense, and smooth coat",,,"Low-maintenance coat, regular brushing and ear cleaning are necessary",Hound,"Basset Hounds can be stubborn but respond well to patient, consistent training",,,,"Moderate exercise requirements, daily walks are important to prevent obesity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bassetoodle,,,,,,,,,,,,,,,,,,,,,,,,United States,"Medium-sized, male: 14-18 inches, female: 12-16 inches; weight: 20-30 pounds",,"Friendly, outgoing, intelligent, and playful","Some common health problems in the Bassetoodle include hip dysplasia, elbow dysplasia, and eye problems",12-15 years,Hybrid,"Curly, wavy, or straight; can be any color",30-60 minutes of exercise per day,,Weekly brushing and occasional baths,,Early and consistent training is essential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bavarian Mountain Scent Hound,,,,,,,,,,,,,,,,,,,,,,,,Germany,"Medium, 17-20 inches tall at the shoulder, 44-55 pounds",,"Intelligent, eager to please, loyal, affectionate","Some health problems include hip dysplasia, elbow dysplasia, and progressive retinal atrophy",12-14 years,Scenthounds,"Short, dense, smooth or slightly wavy","High, at least 2 hours of exercise per day",,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beagle,https://api-ninjas.com/images/dogs/beagle.jpg,5.0,5.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0,10.0,15.0,16.0,15.0,20.0,30.0,14.0,13.0,15.0,20.0,England,"13-15 inches tall at the shoulder, 20-30 pounds",,"Friendly, gentle, playful, curious",,10-15 years,,,,,,Hound,,"Hip dysplasia, elbow dysplasia, eye problems, allergies",,Low; requires weekly brushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaglier,,,,,,,,,,,,,,,,,,,,,,,,Australia,"Small to medium-sized, weighing 10-25 pounds and standing 10-16 inches tall.",,"Friendly, affectionate, and sociable","Beagliers may inherit health concerns from both parent breeds, including hip dysplasia, ear problems, and heart issues.",Typically 10-15 years,,"Short, low-maintenance, various colors",,,,Designer breed,Intelligent and trainable,,,,"Moderately active, enjoy daily walks and playtime.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearded Collie,https://api-ninjas.com/images/dogs/bearded_collie.jpg,5.0,5.0,3.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,5.0,12.0,14.0,22.0,22.0,55.0,55.0,21.0,21.0,45.0,45.0,Scotland,Medium,,"Intelligent, playful, and affectionate","Bearded Collies are generally healthy, but like many breeds, they can be prone to certain genetic conditions like hip dysplasia and progressive retinal atrophy.","The typical lifespan of a Bearded Collie is around 12 to 14 years, making them a long-lived breed.",Herding,"Long, shaggy coat in a variety of colors",High,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauceron,https://api-ninjas.com/images/dogs/beauceron.jpg,3.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,5.0,3.0,10.0,12.0,27.5,27.5,110.0,110.0,25.5,25.5,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlington Terrier,https://api-ninjas.com/images/dogs/bedlington_terrier.jpg,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,11.0,16.0,17.5,17.5,23.0,23.0,15.0,15.0,17.0,17.0,England,Medium,,"Affectionate, loyal, and playful",,12-16 years,Terrier,"Curly and wooly, can be low-maintenance",Moderate,Early and consistent training is recommended,,,,"Some common health concerns include copper toxicosis, hip dysplasia, and elbow dysplasia",,,,,17-23 pounds,Any color or combination of colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian Laekenois,,,,,,,,,,,,,,,,,,,,,,,,Belgium,"22-26 inches tall at the shoulder, 44-66 pounds","Rough, wiry coat that comes in shades of red, fawn, or gray","Intelligent, alert, and active. Good watchdogs and family pets.","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",12-14 years,,,,,Needs to be brushed 2-3 times a week and hand-stripped once a month.,,"Moderate in difficulty, as this breed is highly intelligent and eager to please.",,,,,,,,,High,Needs at least 60 minutes of exercise per day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian Malinois,,,,,,,,,,,,,,,,,,,,,,,,Belgium,"24-26 inches tall and 55-75 pounds, females 22-24 inches tall and 40-60 pounds",,"Intelligent, energetic, loyal, protective, trainable","Generally healthy, but can be prone to some health conditions, such as hip dysplasia, elbow dysplasia, and allergies",12-14 years,,"Short, double coat that is weather-resistant and comes in a variety of colors, including fawn, mahogany, and black",,,,,,,,,,,,,,,,"Belgian Malinois are best suited for active families with plenty of time to exercise and train them. They can be good with children when properly socialized, but they have a high prey drive and should not be left unsupervised with small animals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian Sheepdog,,,,,,,,,,,,,,,,,,,,,,,,Belgium,Medium to large,,"Intelligent, energetic, and loyal",,12-15 years,Herding,"Long, dense, and black, with white markings on the chest, feet, tail, and muzzle.",High,Moderate to difficult,,,,"Generally healthy, but can be prone to certain health conditions, such as hip dysplasia, elbow dysplasia, and eye problems",,,,,45-75 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian Tervuren,,,,,,,,,,,,,,,,,,,,,,,,Belgium,"22-26 inches tall at the shoulder, 55-65 pounds",,"Intelligent, active, and loyal","Generally healthy, but can be prone to some health problems, such as hip dysplasia, elbow dysplasia, and eye problems",12-14 years,Herding dog,"Long, straight, fawn-colored coat with a black mask",60-90 minutes of exercise per day,,,,"Needs early socialization and training, can be stubborn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger Picard,https://api-ninjas.com/images/dogs/berger_picard.jpg,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,12.0,13.0,25.5,25.5,70.0,70.0,23.5,23.5,50.0,50.0,France,"Male: 23-26 inches (59-66 cm) tall at the shoulder, 45-65 pounds (20-30 kg); Female: 21-24 inches (53-61 cm) tall at the shoulder, 35-55 pounds (16-25 kg)",,"Friendly, loyal, intelligent, and active","Some health problems that are common in the breed include hip dysplasia, elbow dysplasia, and eye problems.",12-14 years,Herding,"Wiry, double coat that is fawn or brindle in color",High,,,,Requires early and consistent training,,,,,,,,,,,,"Lost in San Francisco,” and “Are We Done Yet?”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernedoodle,,,,,,,,,,,,,,,,,,,,,,,,United States (approx. 2003),"Bernedoodles can weigh between 50 to 90 pounds or more, Miniatures around 25 to 50 pounds, and Tiny ones around 10 to 25 pounds.",,"Bernedoodles are often known for being affectionate, intelligent, and social dogs. This makes them great candidates for therapy dogs.","As with any mixed breed, Bernedoodles can inherit health traits from both parent breeds. They may be prone to some of the same conditions as Bernese Mountain Dogs and Poodles. Regular veterinary care and health checks are important.",12-15 years.,,"Bernedoodles usually have a wavy or curly coat that is low-shedding, making them a popular choice for those with allergies.",,,Grooming needs can vary based on coat type. Curlier coats may require more maintenance to prevent matting. Regular brushing and occasional professional grooming are usually recommended.,Hybrid (Designer),"Bernedoodles are intelligent and eager to please, making them generally trainable. Positive reinforcement methods work well with them.",,,,"They have moderate exercise requirements. Regular walks, playtime, and mental stimulation are important to keep them happy and healthy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernese Mountain Dog,https://api-ninjas.com/images/dogs/bernese_mountain_dog.jpg,5.0,5.0,5.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,7.0,10.0,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,"Bernese Mountain Dogs originated in the Swiss Alps, where they were for pulling carts, herding cattle, and guarding property.","Berners are a large, muscular breed, so they require a lot of space.",,"Friendly, gentle, and loyal. They are good with children and other pets.","Berners are prone to some health problems, such as hip dysplasia, elbow dysplasia, and bloat. It is important to have your Berner regularly examined by a veterinarian to catch any health problems early.",for 8-10 years.,,"Thick, double coat that requires regular brushing and grooming. They shed heavily twice a year.","Bernese Mountain Dogs are active and need at least 30 minutes of exercise per day. They enjoy hiking, playing fetch, and going for walks.",,,Working,Intelligent dogs and are easy to train. They are eager to please and respond well to positive reinforcement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bichon Frise,,,,,,,,,,,,,,,,,,,,,,,,"The Bichon Frise originated in the Mediterranean region, possibly in Tenerife, one of the Canary Islands.","Bichon Frises are small dogs, typically weighing 10-18 pounds and standing 10-12 inches tall at the shoulder.","Bichon Frises have a white, fluffy coat that requires regular grooming. They have black eyes and a short, blunt muzzle.","Bichon Frise is a friendly, playful, and intelligent dog. They are good with children, other pets, and are relatively easy to train.","Bichon Frises are generally healthy dogs, but they can be prone to some health problems, such as allergies, ear infections, and dental problems.",Bichon Frises typically live 10-15 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biewer Terrier,,,,,,,,,,,,,,,,,,,,,,,,Germany,"Small, typically standing 7-11 inches tall and weighing 4-8 pounds.",,"Affectionate, playful, and intelligent","Generally healthy, but can be prone to some health problems, such as patellar luxation and portosystemic shunt.",12-15 years,Toy,"Long, silky, and tricolored (black, tan, and white)",Low,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Mouth Cur,,,,,,,,,,,,,,,,,,,,,,,,"United States, specifically in the southeastern region",Medium to Large. They have a sturdy and athletic build that enables them to perform a range of physical activities.,,"Intelligent, loyal, protective, versatile","Generally healthy, some breed-specific concerns like hip dysplasia and eye issues",12 to 18 years,,Short and dense,,,Low maintenance,Working,"Highly trainable, responds well to positive reinforcement",,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Russian Terrier,https://api-ninjas.com/images/dogs/black_russian_terrier.jpg,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,4.0,4.0,3.0,10.0,12.0,30.0,30.0,130.0,130.0,27.0,27.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black and Tan Coonhound,https://api-ninjas.com/images/dogs/black_and_tan_coonhound.jpg,5.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,10.0,12.0,27.0,27.0,110.0,110.0,25.0,25.0,65.0,65.0,United States,"Male: 23-27 inches (58-69 cm) at the shoulder, Female: 21-25 inches (53-63 cm) at the shoulder",,"Friendly, intelligent, loyal, playful","Some health problems that are common in the Black and Tan Coonhound include hip dysplasia, elbow dysplasia, and eye problems.",10-12 years,Hound,"Short, smooth",30-60 minutes of exercise per day,,Weekly brushing,,Easy to train with positive reinforcement,,,,,,"Male: 65-100 pounds (29-45 kg), Female: 55-80 pounds (25-36 kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodhound,https://api-ninjas.com/images/dogs/bloodhound.jpg,3.0,3.0,3.0,2.0,5.0,1.0,3.0,3.0,2.0,4.0,3.0,5.0,10.0,12.0,27.0,27.0,110.0,100.0,25.0,25.0,90.0,80.0,Belgium,"Male: 23-27 inches (58-69 cm) at the shoulder, Female: 21-25 inches (53-63 cm) at the shoulder",,"Gentle, affectionate, patient, loyal","Some health problems that are common in the bloodhound include hip dysplasia, elbow dysplasia, and eye problems.",10-12 years,Hound,"Short, smooth",30-60 minutes of exercise per day,,Weekly brushing,,"Can be stubborn, but can be trained with patience and positive reinforcement",,,,,,"Male: 80-110 pounds (36-50 kg), Female: 70-90 pounds (32-41 kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lacy,,,,,,,,,,,,,,,,,,,,,,,,"Texas, United States",Medium,,"Intelligent, energetic, and loyal",,12-14 years,Sporting,"Short and smooth, in shades of blue, gray, red, or tri-colored",High,Easy to train,,,,"Generally healthy, but can be prone to certain health conditions, such as hip dysplasia, elbow dysplasia, and eye problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetick Coonhound,https://api-ninjas.com/images/dogs/bluetick_coonhound.jpg,3.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,11.0,12.0,27.0,27.0,80.0,65.0,22.0,22.0,55.0,45.0,"Bluetick Coonhounds are native to the United States, and they are thought to have originated in Louisiana. They were originally bred to hunt raccoons, and they are still used for this purpose today.","Blueticks are medium-sized dogs, with males being slightly larger than females. They have a muscular build and a long, tapering tail.",,"They are known for their friendly and affectionate temperament. They are also intelligent and playful dogs. Bluetick Coonhounds can be good with children, but they can be stubborn at times.",,Bluetick Coonhounds have a lifespan of 11 to 12 years.,They are classified as Hounds. This means that they were originally bred to track and trail animals.,"Blueticks have a short, smooth coat that is blue ticked (black with white markings). The coat is relatively easy to groom and does not require frequent bathing. However, they should be checked for ticks and fleas regularly.","Bluetick Coonhounds are high-energy dogs and need at least 30 to 60 minutes of exercise per day. This can include walking, running, and playing.",,,,Blueticks are relatively easy to train with positive reinforcement methods. They are eager to please their owners and are quick to learn new commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocker,,,,,,,,,,,,,,,,,,,,,,,,The Bocker is a mixed breed dog resulting from the combination of the Cocker Spaniel and Beagle breeds.,"Bockers are generally smalldogs, influenced by their parent breeds.","Bockers can display a lot of physical traits inherited from their parent breeds. The main colors of Bockers are black, brown, white, merle, tri-color, and bi-color. They are rarely a solid color and generally a combination of two or more colors.","These pups are known for their affection and curiosity. Bockers tend to thrive on friendship and play, making them well-suited for families or individuals seeking a lively canine companion.","Bockers can inherit health issues from their parent breeds, such as ear infections, eye problems, and joint conditions. Regular veterinary care, proper grooming, and a balanced diet contribute to their overall well-being.","The average lifespan of Bocker dogs ranges from around 10 to 15 years. Individual lifespans can vary depending on genetics, care, and lifestyle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
